NYCHA PROPERTY DIRECTORY,,,,,,,BRONX
BLOCK and LOT GUIDE,,,,,,,
BLOCK,LOT,ADDRESS,ZIP CODE,DEVELOPMENT,MANAGED BY,CD#,FACILITY
2413,,1348 EAST 156TH STREET,10451,MELROSE,MELROSE,,1CHILD HEALTH CLINIC
2413,,1320 EAST 156TH STREET,10451,MELROSE,MELROSE,,1GROUNDS SHOP
2413,,1304 EAST 156TH STREET,10451,MELROSE,MELROSE,,1BOILER
2413,,1286 EAST 156TH STREET,10451,MELROSE,MELROSE,,1COMMUNITY CENTER/ BOILER
2413,,1700 MORRIS AVENUE,10451,MELROSE,MELROSE,1,
2413,,1704 MORRIS AVENUE,10451,MELROSE,MELROSE,,1MAINTENANCE AREA/ X-SHOP
2416,,1785 COURTLANDT AVENUE,10451,JACKSON,MORRISANIA AIR RIGHTS,,1CARPENTERS SHOP
2416,,1799 COURTLANDT AVENUE,10451,JACKSON,MORRISANIA AIR RIGHTS,1,
2416,,1765 COURTLANDT AVENUE,10451,JACKSON,MORRISANIA AIR RIGHTS,1,
2416,,1325 EAST 156TH STREET,10451,JACKSON,MORRISANIA AIR RIGHTS,,1SENIOR CENTER
2416,,1301 EAST 156TH STREET,10451,JACKSON,MORRISANIA AIR RIGHTS,,1CARPENTERS STORAGE ROOM/
,,,,,,,PLUMBERS SHOP
2416,,1285 EAST 156TH STREET,10451,JACKSON,MORRISANIA AIR RIGHTS,1,
2416,,1300 EAST 158TH STREET,10451,JACKSON,MORRISANIA AIR RIGHTS,,1BOILER/ PLASTERERS SHOP/
,,,,,,,STORAGE ROOM
2416,,1310 EAST 158TH STREET,10451,JACKSON,MORRISANIA AIR RIGHTS,,1QUONSET HUT
NOTE:,CD = Community District,,Block = Tax Block,Lot = Tax Lot,,,314
BRONX,,,,,,,
NYCHA PROPERTY DIRECTORY,,,,,,,BRONX
BLOCK and LOT GUIDE,,,,,,,
BLOCK,LOT,ADDRESS,ZIP CODE,DEVELOPMENT,MANAGED BY,CD#,FACILITY
2416,,13080 PARK AVENUE,10451,JACKSON,MORRISANIA AIR RIGHTS,,1BULK STORAGE ROOM/ GROUNDS
,,,,,,,SHOP
2416,,13050 PARK AVENUE,10451,JACKSON,MORRISANIA AIR RIGHTS,,1BRICKLAYERS SHOP
2420,1,,,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,PARKING LOT
2420,25,,,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,DEVELOPMENT GROUNDS
2420,78,,,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,DEVELOPMENT GROUNDS
2420,89,,,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,PARKING LOT
2420,90,,,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,PARKING LOT
2420,170,,,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,PARKING LOT
2420,172,,,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,,DEVELOPMENT GROUNDS
